Branch,State,Customer,Item,Qty,Unit
Russin Montgomery,NY,84 LUMBER CO - PATCHOGUE,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,343,LF
Russin Montgomery,NY,84 LUMBER CO - WEST MIFFLIN,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,8204,LF
Russin Montgomery,NY,BUILDERS FIRST SOURCE - BERLIN,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,0,LF
Russin Montgomery,NY,C.A. NIECE CO INC - LAMBERTVILLE,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,28,LF
Russin Montgomery,NY,C.A. NIECE CO INC - LAMBERTVILLE,18MTAYS4 1X8 MAXIMO THERMO AYOUS S4S/EE,56,LF
Russin Montgomery,NY,C.A. NIECE CO INC - LAMBERTVILLE,544MTAYS4 5/4X4 MAXIMO THERMO AYOUS S4S/EE,42,LF
Russin Montgomery,NY,CONCORD/LITTLETON - LITTLETON,112MTAYS4 1X12 MAXIMO THERMO AYOUS S4S/EE,230,LF
Russin Montgomery,NY,CONCORD/LITTLETON - LITTLETON,18MTAYS4 1X8 MAXIMO THERMO AYOUS S4S/EE,504,LF
Russin Montgomery,NY,FABRIZIO WOOD PRODUCTS - MIDDLETON,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,406,LF
Russin Montgomery,NY,GLASSBORO LUMBER - GLASSBORO,14MTAYS4 1X4 MAXIMO THERMO AYOUS S4S/EE,140,LF
Russin Montgomery,NY,GLASSBORO LUMBER - GLASSBORO,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,686,LF
Russin Montgomery,NY,GLASSBORO LUMBER - GLASSBORO,546MTAYS4 5/4X6 MAXIMO THERMO AYOUS S4S/EE,85,LF
Russin Montgomery,NY,HARDWOOD REALTY LLC - PINE PLAINS,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,1225,LF
Russin Montgomery,NY,HARDWOOD REALTY LLC - PINE PLAINS,18MTAYS4 1X8 MAXIMO THERMO AYOUS S4S/EE,504,LF
Russin Montgomery,NY,INTERSTATE & LAKELAND LUMBER - NEWTOWN,112MTAYS4 1X12 MAXIMO THERMO AYOUS S4S/EE,60,LF
Russin Montgomery,NY,INTERSTATE & LAKELAND LUMBER - NEWTOWN,14MTAYS4 1X4 MAXIMO THERMO AYOUS S4S/EE,770,LF
Russin Montgomery,NY,INTERSTATE & LAKELAND LUMBER - NEWTOWN,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,12364,LF
Russin Montgomery,NY,INTERSTATE & LAKELAND LUMBER - STAMFORD,16MTSPVJNG 1X6 MAXIMO THERMO SCANDANAVIAN PINE V-JOINT/NICKELGAP,560,LF
Russin Montgomery,NY,LIBERTY CEDAR - W. KINGSTON,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,2443,LF
Russin Montgomery,NY,TAGUE - PHILADELPHIA,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,336,LF
Russin Montgomery,NY,TIMBERLINE ENTERPRISES - BRAINTREE,16MTAYFL5 1X6 MAXIMO THERMO AYOUS FLUTED #5,3054,LF
Russin Montgomery,NY,TIMBERLINE ENTERPRISES - BRAINTREE,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,31159,LF
Russin Montgomery,NY,TRADE SUPPLY GROUP - EAST ISLIP,14MTAYS4 1X4 MAXIMO THERMO AYOUS S4S/EE,560,LF
Russin Montgomery,NY,TRADE SUPPLY GROUP - EAST ISLIP,16MTAYS4 1X6 MAXIMO THERMO AYOUS S4S/EE,1043,LF
Russin Montgomery,NY,TRADE SUPPLY GROUP - EAST ISLIP,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,5117,LF
Russin Montgomery,NY,TRADE SUPPLY GROUP - EAST ISLIP,18MTAYS4 1X8 MAXIMO THERMO AYOUS S4S/EE,532,LF
Russin Montgomery,NY,TRADE SUPPLY GROUP - WATERMILL,14MTAYS4 1X4 MAXIMO THERMO AYOUS S4S/EE,520,LF
Russin Montgomery,NY,TRADE SUPPLY GROUP - WATERMILL,16MTAYS4 1X6 MAXIMO THERMO AYOUS S4S/EE,1050,LF
Russin Montgomery,NY,TRADE SUPPLY GROUP - WATERMILL,16MTAYVJNG 1X6 MAXIMO THERMO AYOUS V-JOINT/NICKEL GAP,5152,LF
Russin Montgomery,NY,TRADE SUPPLY GROUP - WATERMILL,18MTAYS4 1X8 MAXIMO THERMO AYOUS S4S/EE,532,LF
Russin Montgomery,NY,WARRENS WOOD WORKS - EASTON,110MTAYS4 1X10 MAXIMO THERMO AYOUS S4S/EE,98,LF
